"","x"
"1","오전0-6시입원"
"2","18-24시퇴원"
"3","입원181일-360일까지"
"4","입원361일부터"
"5","일반건강검진 당일 진찰"
"6","생애전환기 건강검진 당일 진찰"
"7","야간"
"8","야간-차등수가제외"
"9","야간, 일반건강검진 당일 진찰"
"10","야간, 생애전환기 건강검진 당일 진찰"
"11","토요09-13"
"12","토요09-13, 일반건강검진 당일 진찰"
"13","토요09-13, 생애전환기 건강검진 당일 진찰"
"14","공휴일"
"15","공휴일, 일반건강검진 당일 진찰"
"16","공휴일, 생애전환기 건강검진 당일 진찰"
"17","만1세미만"
"18","만1세미만, 영유아 건강검진 당일 진찰"
"19","만1세미만, 야간"
"20","만1세미만, 야간-차등수가제외"
"21","만1세미만, 야간, 영유아 건강검진 당일 진찰"
"22","만1세미만, 심야"
"23","만1세미만, 심야-차등수가제외"
"24","만1세미만, 심야, 영유아 건강검진 당일 진찰"
"25","만1세미만, 토요09-13"
"26","만1세미만, 토요09-13, 영유아 건강검진 당일 진찰"
"27","만1세미만, 공휴일"
"28","만1세미만, 공휴일, 영유아 건강검진 당일 진찰"
"29","만1세이상~만6세미만"
"30","만1세이상~만6세미만, 영유아 건강검진 당일 진찰"
"31","만1세이상~만6세미만, 야간"
"32","만1세이상~만6세미만, 야간-차등수가제외"
"33","만1세이상~만6세미만, 야간, 영유아 건강검진 당일 진찰"
"34","만1세이상~만6세미만, 심야"
"35","만1세이상~만6세미만, 심야-차등수가제외"
"36","만1세이상~만6세미만, 심야, 영유아 건강검진 당일 진찰"
"37","만1세이상~만6세미만, 토요09-13"
"38","만1세이상~만6세미만, 토요09-13, 영유아 건강검진 당일 진찰"
"39","만1세이상~만6세미만, 공휴일"
"40","만1세이상~만6세미만, 공휴일, 영유아 건강검진 당일 진찰"
"41","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인"
"42","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 일반건강검진 당일 진찰"
"43","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 생애전환기 건강검진 당일 진찰"
"44","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 야간"
"45","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 야간-차등수가제외"
"46","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 야간, 일반건강검진 당일 진찰"
"47","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 야간, 생애전환기 건강검진 당일 진찰"
"48","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 토요09-13"
"49","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 토요09-13, 일반건강검진 당일 진찰"
"50","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 토요09-13, 생애전환기 건강검진 당일 진찰"
"51","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 공휴일"
"52","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 공휴일, 일반건강검진 당일 진찰"
"53","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 공휴일, 생애전환기 건강검진 당일 진찰"
"54","암검진 당일 진찰"
"55","야간, 암검진 당일 진찰"
"56","공휴일, 암검진 당일 진찰"
"57","토요09-13, 암검진 당일 진찰"
"58","영유아 건강검진 당일 진찰"
"59","(건강보험)사회복지시설내 원외처방전 교부"
"60","보호자내원 약제또는처방전만 수령한 경우"
"61","강내치료실"
"62","내,소,정신과"
"63","오전0-6시입원 강내치료실"
"64","오전0-6시입원 내.소.정신과"
"65","18-24시퇴원 강내치료실"
"66","18-24시퇴원 내.소.정신과"
"67","입원16일-30일까지"
"68","입원16일-30일까지 강내치료실"
"69","입원16일-30일까지 내,소,정신과"
"70","입원31일부터"
"71","입원31일부터 강내치료실"
"72","입원31일부터 내,소,정신과"
"73","입원181일-360일까지 내,소,정신과"
"74","입원361일부터 내,소,정신과"
"75","만1세미만 야간"
"76","만1세미만 공휴일"
"77","만1세이상~만6세미만 야간"
"78","만1세이상~만6세미만 공휴일"
"79","신생아"
"80","신생아 야간"
"81","신생아 공휴일"
"82","혈관조영촬영실에서 검사중 실시"
"83","집중간호 신생아"
"84","적응증 외 신생아"
"85","오전0-6시입원 집중간호 신생아"
"86","오전0-6시입원  적응증 외 신생아"
"87","18-24시퇴원 집중간호 신생아"
"88","18시-24시퇴원  적응증 외 신생아"
"89","만70세이상"
"90","만70세이상, 야간"
"91","만70세이상, 공휴일"
"92","종합병원"
"93","요양병원"
"94","재교육(항암화학요법 변경)"
"95","6세미만"
"96","6세미만  재교육(항암화학요법 변경)"
"97","재교육(stoma 위치 변경을 위한 수술)"
"98","6세미만  재교육(stoma 위치 변경을 위한 수술)"
"99","병리검사 질가산(4%)"
"100","진단검사의학과전문의 등 판독"
"101","진단검사 질가산(4%) 진단검사의학과전문의 등 판독"
"102","진단검사 질가산(3%) 진단검사의학과전문의 등 판독"
"103","진단검사 질가산(2%) 진단검사의학과전문의 등 판독"
"104","진단검사 질가산(1%) 진단검사의학과전문의 등 판독"
"105","병리검사 질가산(4%) 진단검사의학과전문의 등 판독"
"106","진단검사 질가산(4%)"
"107","진단검사 질가산(3%)"
"108","진단검사 질가산(2%)"
"109","진단검사 질가산(1%)"
"110","치료목적"
"111","만1세미만 응급"
"112","만1세미만 치료목적 응급"
"113","만1세이상~만6세미만 응급"
"114","만1세이상~만6세미만 치료목적 응급"
"115","응급"
"116","치료목적 응급"
"117","권역외상센터 중증외상"
"118","치료목적 권역외상센터 중증외상"
"119","만1세미만 치료목적"
"120","만1세이상~만6세미만 치료목적"
"121","만1세미만 권역외상센터 중증외상"
"122","만1세미만 치료목적 권역외상센터 중증외상"
"123","만1세이상~만6세미만 권역외상센터 중증외상"
"124","만1세이상~만6세미만 치료목적 권역외상센터 중증외상"
"125","흉부외과 전문의"
"126","외과 전문의"
"127","RNA fusion gene  진단검사의학과전문의 등 판독"
"128","RNA fusion gene 진단검사 질가산(4%) 진단검사의학과전문의 등 판독"
"129","RNA fusion gene 진단검사 질가산(3%) 진단검사의학과전문의 등 판독"
"130","RNA fusion gene 진단검사 질가산(2%) 진단검사의학과전문의 등 판독"
"131","RNA fusion gene 진단검사 질가산(1%) 진단검사의학과전문의 등 판독"
"132","RNA fusion gene 병리검사 질가산(4%) 진단검사의학과전문의 등 판독"
"133","핵의학검사 질가산(4%)"
"134","핵의학검사 질가산(4%) 진단검사의학과전문의 등 판독"
"135","외부슬라이드판독검사"
"136","병리검사 질가산(4%) 외부슬라이드판독검사"
"137","권역외상센터중증외상"
"138","안구운동범위 촬영 및 분석"
"139","내시경하 생검"
"140","만1세미만 내시경하 생검"
"141","만1세이상~만6세미만 내시경하 생검"
"142","만1세미만 응급 생검"
"143","만1세이상~만6세미만 응급 생검"
"144","응급 생검"
"145","권역외상센터중증외상 생검"
"146","만1세미만 권역외상센터중증외상"
"147","만1세미만 내시경하 생검 권역외상센터중증외상"
"148","만1세이상~만6세미만 권역외상센터중증외상"
"149","만1세이상~만6세미만 내시경하 생검 권역외상센터중증외상"
"150","흉부외과 전문의 내시경하 생검"
"151","brushing"
"152","만1세미만 응급  brushing"
"153","만1세이상~만6세미만 응급  brushing"
"154","응급  brushing"
"155","권역외상센터중증외상  brushing"
"156","만1세미만  brushing"
"157","만1세이상~만6세미만  brushing"
"158","만1세미만  brushing 권역외상센터중증외상"
"159","만1세이상~만6세미만  brushing 권역외상센터중증외상"
"160","만70세이상 야간"
"161","만70세이상 공휴일"
"162","제한적"
"163","도플러"
"164","도플러  제한적"
"165","만1세미만  제한적"
"166","만1세미만  도플러"
"167","만1세미만  도플러  제한적"
"168","만1세이상~만6세미만  제한적"
"169","만1세이상~만6세미만  도플러"
"170","만1세이상~만6세미만  도플러  제한적"
"171","조영제 사용"
"172","조영제 사용  제한적"
"173","만1세미만  조영제 사용"
"174","만1세미만  조영제 사용  제한적"
"175","만1세이상~만6세미만  조영제 사용"
"176","만1세이상~만6세미만  조영제 사용  제한적"
"177","Digital 뇌파분석"
"178","만6세미만"
"179","만6세미만 Digital 뇌파분석"
"180","영상의학과전문의판독"
"181","촬영료 등"
"182","만6세미만 영상의학과전문의판독"
"183","만6세미만 촬영료 등"
"184","외부병원필름판독료"
"185","양측혈관"
"186","양측혈관 외부병원필름판독료"
"187","양측혈관 영상의학과전문의 판독"
"188","양측혈관 촬영료 등"
"189","두 번째 혈관 촬영부터"
"190","두 번째 혈관 촬영부터 외부병원필름판독료"
"191","두 번째 혈관 촬영부터 영상의학과전문의 판독"
"192","두 번째 혈관 촬영부터 촬영료 등"
"193","두 번째 혈관 촬영부터 양측 혈관인 경우"
"194","두 번째 혈관 촬영부터 양측 혈관인 경우 외부병원필름판독료"
"195","두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학과전문의 판독"
"196","두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등"
"197","만6세미만 응급"
"198","만6세미만 응급 영상의학과전문의 판독"
"199","만6세미만 응급 촬영료 등"
"200","만6세미만 응급 양측혈관"
"201","만6세미만 응급 양측혈관 영상의학과전문의 판독"
"202","만6세미만 응급 양측혈관 촬영료 등"
"203","만6세미만 응급 두 번째 혈관 촬영부터"
"204","만6세미만 응급 두 번째 혈관 촬영부터 영상의학과전문의 판독"
"205","만6세미만 응급 두 번째 혈관 촬영부터 촬영료 등"
"206","만6세미만 응급 두 번째 혈관 촬영부터 양측 혈관인 경우"
"207","만6세미만 응급 두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학과전문의 판독"
"208","만6세미만 응급 두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등"
"209","만6세미만 양측혈관"
"210","만6세미만 양측혈관 영상의학과전문의 판독"
"211","만6세미만 양측혈관 촬영료 등"
"212","만6세미만 두 번째 혈관 촬영부터"
"213","만6세미만 두 번째 혈관 촬영부터 영상의학과전문의 판독"
"214","만6세미만 두 번째 혈관 촬영부터 촬영료 등"
"215","만6세미만 두 번째 혈관 촬영부터 양측 혈관인 경우"
"216","만6세미만 두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학과전문의 판독"
"217","만6세미만 두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등"
"218","응급 영상의학과전문의판독"
"219","응급 촬영료 등"
"220","응급 양측혈관"
"221","응급 양측혈관 영상의학전문의 판독"
"222","응급 양측혈관 촬영료 등"
"223","응급 두 번째 혈관 촬영부터"
"224","응급 두 번째 혈관 촬영부터 영상의학전문의 판독"
"225","응급 두 번째 혈관 촬영부터 촬영료 등"
"226","응급 두 번째 혈관 촬영부터 양측 혈관인 경우"
"227","응급 두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학전문의 판독"
"228","응급 두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등"
"229","권역외상센터중증외상 영상의학과전문의판독"
"230","권역외상센터중증외상 촬영료 등"
"231","권역외상센터중증외상 양측혈관"
"232","권역외상센터중증외상 양측혈관 영상의학전문의 판독"
"233","권역외상센터중증외상 양측혈관 촬영료 등"
"234","권역외상센터중증외상 두 번째 혈관 촬영부터"
"235","권역외상센터중증외상 두 번째 혈관 촬영부터 영상의학전문의 판독"
"236","권역외상센터중증외상 두 번째 혈관 촬영부터 촬영료 등"
"237","권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우"
"238","권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학전문의 판독"
"239","권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등"
"240","만6세미만 권역외상센터중증외상"
"241","만6세미만 권역외상센터중증외상 영상의학과전문의 판독"
"242","만6세미만 권역외상센터중증외상 촬영료 등"
"243","만6세미만 권역외상센터중증외상 양측혈관"
"244","만6세미만 권역외상센터중증외상 양측혈관 영상의학과전문의 판독"
"245","만6세미만 권역외상센터중증외상 양측혈관 촬영료 등"
"246","만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터"
"247","만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터 영상의학과전문의 판독"
"248","만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터 촬영료 등"
"249","만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우"
"250","만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학과전문의 판독"
"251","만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등"
"252","핵의학과등전문의판독"
"253","정량분석"
"254","정량분석,핵의학과등전문의판독"
"255","혈류영상"
"256","혈류영상 핵의학과등전문의판독"
"257","혈류+정량"
"258","혈류+정량 핵의학과등전문의판독"
"259","만6세미만,핵의학전문의판독"
"260","만6세미만,정량분석"
"261","만6세미만,정량분석,핵의학전문의판독"
"262","만6세미만 혈류영상"
"263","만6세미만 혈류영상 핵의학과등전문의판독"
"264","만6세미만 혈류+정량"
"265","만6세미만 혈류+정량 핵의학과등전문의판독"
"266","동적영상"
"267","동적영상 핵의학과등전문의판독"
"268","정량+동적"
"269","정량+동적 핵의학과등전문의판독"
"270","동적+혈류"
"271","동적+혈류 핵의학과등전문의판독"
"272","정량+동적+혈류"
"273","정량+동적+혈류 핵의학과등전문의판독"
"274","만6세미만 동적영상"
"275","만6세미만 동적영상 핵의학과등전문의판독"
"276","만6세미만 정량+동적"
"277","만6세미만 정량+동적 핵의학과등전문의판독"
"278","만6세미만 동적+혈류"
"279","만6세미만 동적+혈류 핵의학과등전문의판독"
"280","만6세미만 정량+동적+혈류"
"281","만6세미만 정량+동적+혈류 핵의학과등전문의판독"
"282","품질관리검사 적합판정"
"283","3 테슬라 이상"
"284","3 테슬라 이상 품질관리검사 적합판정"
"285","0.5테슬라 이상~1.5 테슬라 미만"
"286","0.5테슬라 이상~1.5 테슬라 미만 품질관리검사 적합판정"
"287","0.5 테슬라 미만"
"288","0.5 테슬라 미만 품질관리검사 적합판정"
"289","만6세미만 품질관리검사 적합판정"
"290","만6세미만 3 테슬라 이상"
"291","만6세미만 3 테슬라 이상 품질관리검사 적합판정"
"292","만6세미만 0.5테슬라 이상~1.5 테슬라 미만"
"293","만6세미만 0.5테슬라 이상~1.5 테슬라 미만 품질관리검사 적합판정"
"294","만6세미만  0.5 테슬라 미만"
"295","만6세미만  0.5 테슬라 미만 품질관리검사 적합판정"
"296","영상의학과전문의 판독"
"297","만6세미만 영상의학과전문의 판독"
"298","만6세미만 핵의학과등전문의판독"
"299","핵의학과전문의판독"
"300","정량분석,핵의학과전문의판독"
"301","신생아중환자실 입원"
"302","소아중환자실 입원"
"303","야간, 신생아중환자실 입원"
"304","야간, 소아중환자실 입원"
"305","공휴일, 신생아중환자실 입원"
"306","공휴일, 소아중환자실 입원"
"307","제제료"
"308","가루약 조제투약"
"309","만1세미만  응급"
"310","응급 야간"
"311","응급 공휴일"
"312","(의원·치과의원(보건의료원포함))야간,토요,공휴"
"313","권역외상센터중증외상 야간"
"314","권역외상센터중증외상 공휴"
"315","신생아 응급"
"316","신생아 응급 야간"
"317","신생아 응급 공휴일"
"318","(의원·치과의원(보건의료원포함))신생아 야간,토요,공휴"
"319","만70세이상 응급"
"320","만70세이상 응급 야간"
"321","만70세이상 응급 공휴일"
"322","(의원·치과의원(보건의료원포함))만70세이상 야간,토요,공휴"
"323","만70세이상 권역외상센터중증외상"
"324","만70세이상 권역외상센터중증외상 야간"
"325","만70세이상 권역외상센터중증외상 공휴"
"326","만1세미만 응급 야간"
"327","만1세미만 응급 공휴일"
"328","(의원·치과의원(보건의료원포함))만1세미만 야간,토요,공휴"
"329","만1세이상~만6세미만 응급 야간"
"330","만1세이상~만6세미만 응급 공휴일"
"331","(의원·치과의원(보건의료원포함))만1세이상~만6세미만 야간,토요,공휴"
"332","(상급종합병원·종합병원)신생아"
"333","(상급종합병원·종합병원)신생아 야간"
"334","(상급종합병원·종합병원)신생아 응급"
"335","(상급종합병원·종합병원)신생아 응급야간"
"336","(상급종합병원·종합병원)신생아 응급공휴일"
"337","(상급종합병원·종합병원)신생아 공휴일"
"338","(상급종합병원·종합병원)신생아 권역외상센터중증외상"
"339","(상급종합병원·종합병원)신생아 권역외상센터중증외상 야간"
"340","(상급종합병원·종합병원)신생아 권역외상센터중증외상 공휴"
"341","(상급종합병원·종합병원)만1세미만"
"342","(상급종합병원·종합병원)만1세미만 야간"
"343","(상급종합병원·종합병원)만1세미만 응급"
"344","(상급종합병원·종합병원)만1세미만 응급야간"
"345","(상급종합병원·종합병원)만1세미만 응급공휴일"
"346","(상급종합병원·종합병원)만1세미만 공휴일"
"347","(상급종합병원·종합병원)만1세미만 권역외상센터중증외상"
"348","(상급종합병원·종합병원)만1세미만 권역외상센터중증외상 야간"
"349","(상급종합병원·종합병원)만1세미만 권역외상센터중증외상 공휴"
"350","(상급종합병원·종합병원)만1세이상~만6세미만"
"351","(상급종합병원·종합병원)만1세이상~만6세미만 야간"
"352","(상급종합병원·종합병원)만1세이상~만6세미만 응급"
"353","(상급종합병원·종합병원)만1세이상~만6세미만 응급야간"
"354","(상급종합병원·종합병원)만1세이상~만6세미만 응급공휴일"
"355","(상급종합병원·종합병원)만1세이상~만6세미만 공휴일"
"356","(상급종합병원·종합병원)만1세이상~만6세미만 권역외상센터중증외상"
"357","(상급종합병원·종합병원)만1세이상~만6세미만 권역외상센터중증외상 야간"
"358","(상급종합병원·종합병원)만1세이상~만6세미만 권역외상센터중증외상 공휴"
"359","장기이식수술"
"360","심폐체외순환법"
"361","일측폐환기법"
"362","고빈도제트환기법"
"363","개흉적심장수술"
"364","개두술(뇌종양,뇌혈관질환)"
"365","중증외상환자에대한수술"
"366","ASA-PS3이상환자에대한수술"
"367","야간 장기이식수술"
"368","야간 심폐체외순환법"
"369","야간 일측폐환기법"
"370","야간 고빈도제트환기법"
"371","야간 개흉적심장수술"
"372","야간 개두술(뇌종양,뇌혈관질환)"
"373","야간 중증외상환자에대한수술"
"374","야간 ASA-PS3이상환자에대한수술"
"375","공휴일 장기이식수술"
"376","공휴일 심폐체외순환법"
"377","공휴일 일측폐환기법"
"378","공휴일 고빈도제트환기법"
"379","공휴일 개흉적심장수술"
"380","공휴일 개두술(뇌종양,뇌혈관질환)"
"381","공휴일 중증외상환자에대한수술"
"382","공휴일 ASA-PS3이상환자에대한수술"
"383","의원·치과의원(보건의료원포함)야간,토요,공휴 장기이식수술"
"384","의원·치과의원(보건의료원포함)야간,토요,공휴 심폐체외순환법"
"385","의원·치과의원(보건의료원포함)야간,토요,공휴 일측폐환기법"
"386","의원·치과의원(보건의료원포함)야간,토요,공휴 고빈도제트환기법"
"387","의원·치과의원(보건의료원포함)야간,토요,공휴 개흉적심장수술"
"388","의원·치과의원(보건의료원포함)야간,토요,공휴 개두술(뇌종양,뇌혈관질환)"
"389","의원·치과의원(보건의료원포함)야간,토요,공휴 중증외상환자에대한수술"
"390","의원·치과의원(보건의료원포함)야간,토요,공휴 ASA-PS3이상환자에대한수술"
"391","신생아 장기이식수술"
"392","신생아 심폐체외순환법"
"393","신생아 일측폐환기법"
"394","신생아 고빈도제트환기법"
